Time,M_x [gauss],M_y [gauss],M_z [gauss]
10.686889,0.3285,-0.0045,0.0135
10.696656,0.348,0.0345,0.057
10.706422,0.3735,0.015,0.012
10.716188,0.3405,-0.0075,-0.0075
10.725954,0.33,0.0255,0.0435
10.735721,0.375,0.021,0.039
10.745487,0.36,-0.006,-0.009
10.755253,0.3315,0.0015,0.03
10.765019,0.3615,0.0285,0.048
10.774785,0.366,0.0015,-0.006
10.784552,0.3375,-0.009,0.003
10.794318,0.342,0.024,0.0495
10.804084,0.378,0.021,0.0255
10.81385,0.351,-0.009,-0.0075
10.823617,0.342,0.0105,0.0405
10.833383,0.366,0.0255,0.0405
10.843149,0.369,0.006,-0.009
10.852915,0.3315,0.0045,0.015
10.862682,0.357,0.027,0.0555
10.872448,0.378,0.0195,0.006
10.882214,0.3465,-0.0075,-0.003
10.89198,0.336,0.018,0.0405
10.901746,0.3795,0.033,0.0345
10.911511,0.363,0.006,-0.015
10.921276,0.333,0.0015,0.0225
10.93104,0.3615,0.0285,0.0435
10.940805,0.3765,0.0075,0.0015
10.950569,0.336,-0.006,0.0015
10.960334,0.3495,0.0165,0.0465
10.970098,0.381,0.0165,0.021
10.979863,0.348,-0.0075,-0.003
10.989628,0.333,0.009,0.03
10.999392,0.369,0.0255,0.0435
11.009157,0.3675,0.0045,0.0
11.018921,0.333,0.0045,0.0105
11.028686,0.348,0.0285,0.051
11.03845,0.3765,0.0165,0.0075
11.048215,0.3465,-0.015,-0.015
11.05798,0.339,0.0165,0.042
11.067744,0.3765,0.0255,0.039
11.077509,0.351,-0.006,-0.009
11.087273,0.342,-0.003,0.0255
11.097038,0.363,0.024,0.0465
11.106802,0.3735,0.0105,0.0075
11.116567,0.3435,-0.0015,0.0
11.126332,0.3465,0.021,0.051
11.136096,0.3765,0.021,0.03
11.145861,0.3495,-0.009,-0.018
11.155625,0.3285,0.0,0.0315
11.16539,0.3675,0.0345,0.0465
11.175154,0.369,0.0105,-0.0015
11.184919,0.342,0.0015,0.003
11.194683,0.351,0.03,0.0585
11.204448,0.3825,0.018,0.009
11.214213,0.3405,-0.0075,-0.009
11.223977,0.339,0.0105,0.036
11.233742,0.3645,0.0285,0.033
11.243506,0.366,0.0045,-0.009
11.253271,0.3285,0.0075,0.0105
11.263035,0.3645,0.0255,0.0405
11.2728,0.3765,0.0165,-0.0015
11.282565,0.3375,-0.0045,-0.006
11.292329,0.3435,0.0135,0.0495
11.302094,0.3765,0.0255,0.0285
11.311858,0.3585,0.0015,-0.012
11.321623,0.333,0.006,0.027
11.331387,0.3645,0.0285,0.054
11.341152,0.375,0.006,-0.0045
11.350917,0.3375,-0.0105,0.0075
11.360681,0.3585,0.027,0.051
11.370446,0.3795,0.018,0.009
11.38021,0.3495,-0.0105,-0.0045
11.389975,0.3345,0.012,0.0405
11.399739,0.369,0.0255,0.0405
11.409504,0.3585,0.0045,-0.0165
11.419269,0.333,0.0,0.012
11.429033,0.363,0.03,0.048
11.438798,0.3825,0.0105,0.006
11.448562,0.333,0.0,-0.0075
11.458327,0.339,0.0195,0.048
11.468091,0.3795,0.024,0.03
11.477856,0.357,-0.009,-0.015
11.487621,0.339,0.006,0.027
11.497385,0.3705,0.0315,0.042
11.50715,0.369,0.003,-0.0105
11.516914,0.336,-0.009,0.003
11.526679,0.3465,0.027,0.051
11.536443,0.375,0.0135,0.015
11.546208,0.339,-0.006,-0.0075
11.555972,0.336,0.0105,0.0315
11.565737,0.3705,0.0255,0.036
11.575502,0.366,0.003,-0.006
11.585266,0.33,-0.009,0.015
11.595031,0.354,0.024,0.0525
11.604795,0.3795,0.0135,0.0045
11.61456,0.3435,0.0,-0.012
11.624324,0.3405,0.018,0.0465
11.634089,0.3705,0.03,0.0345
11.643854,0.3555,-0.0045,-0.0045
11.653618,0.3285,0.0045,0.03
11.663383,0.3675,0.0315,0.048
11.673147,0.3675,0.0105,-0.0075
11.682912,0.345,-0.006,0.006
11.692676,0.3435,0.0315,0.0495
11.702441,0.381,0.0225,0.0135
11.712206,0.3435,-0.009,-0.012
11.72197,0.342,0.0135,0.036
11.731735,0.3795,0.0315,0.0435
11.741499,0.3675,0.0075,-0.009
11.751264,0.339,0.0,0.0135
11.761028,0.357,0.027,0.045
11.770793,0.3765,0.018,0.0075
11.780558,0.3405,-0.012,-0.009
11.790322,0.3405,0.0135,0.0405
11.800087,0.375,0.03,0.0345
11.809851,0.366,0.0,-0.0075
11.819616,0.3375,-0.0015,0.018
11.82938,0.366,0.03,0.048
11.839145,0.372,0.012,-0.0075
11.84891,0.3345,-0.003,0.0045
11.858674,0.3525,0.0195,0.045
11.868439,0.381,0.0195,0.0255
11.878203,0.3525,-0.003,-0.0165
11.887971,0.342,0.0045,0.0285
11.897739,0.3645,0.021,0.045
11.907507,0.363,-0.0045,-0.009
11.917274,0.333,0.0,0.006
11.927042,0.357,0.03,0.0465
11.93681,0.3765,0.024,0.003
11.946578,0.351,-0.0045,-0.006
11.956346,0.348,0.018,0.0315
11.966113,0.375,0.0285,0.033
11.975881,0.36,0.006,-0.0135
11.985649,0.3315,-0.0015,0.024
11.995417,0.369,0.033,0.0555
12.005185,0.372,0.0105,0.0
12.014952,0.336,-0.0105,-0.0045
12.02472,0.339,0.0195,0.0435
12.034488,0.375,0.0225,0.027
12.044256,0.3495,-0.009,-0.0165
12.054024,0.3285,0.0045,0.0345
12.063792,0.3675,0.0285,0.045
12.073559,0.366,0.0045,-0.0015
12.083327,0.3375,-0.0045,0.0015
12.093095,0.348,0.0285,0.054
12.102863,0.378,0.015,0.009
12.112631,0.342,-0.003,-0.0105
