Datetime,C2 Value
2024-07-18 20:00:00,-33.72510070608772
2024-07-18 21:00:00,-33.570531533370485
2024-07-18 22:00:00,-33.489266550732026
2024-07-18 23:00:00,-33.42539010492102
2024-07-19 00:00:00,-33.366697679665805
2024-07-19 01:00:00,-33.257300669865344
2024-07-19 02:00:00,-33.166919234002215
2024-07-19 03:00:00,-33.1256283928584
2024-07-19 04:00:00,-33.119284851632386
2024-07-19 05:00:00,-33.09050418363029
2024-07-19 06:00:00,-33.05553412550145
2024-07-19 07:00:00,-33.07312555777027
2024-07-19 08:00:00,-33.14465027770506
2024-07-19 09:00:00,-33.1831575537067
2024-07-19 10:00:00,-33.250380232580866
2024-07-19 11:00:00,-33.35508087989769
2024-07-19 12:00:00,-33.32660319689115
2024-07-19 13:00:00,-33.41291514154547
2024-07-19 14:00:00,-33.41461337083015
2024-07-19 15:00:00,-33.435980921169346
2024-07-19 16:00:00,-33.41196761607321
2024-07-19 17:00:00,-33.40918611589051
2024-07-19 18:00:00,-33.363491278600435
2024-07-19 19:00:00,-33.35219400361994
2024-07-19 20:00:00,-33.31761439650248
2024-07-19 21:00:00,-25.285674070290614
2024-07-19 22:00:00,-26.048050911533732
2024-07-19 23:00:00,-27.628150783317814
2024-07-20 00:00:00,-26.37408837501369
2024-07-20 01:00:00,-27.033223491361888
2024-07-20 02:00:00,-26.776015663868293
2024-07-20 03:00:00,-26.038584041430813
2024-07-20 04:00:00,-23.79499019061825
2024-07-20 05:00:00,-22.97163946853589
2024-07-20 06:00:00,-22.916394287867586
2024-07-20 07:00:00,-19.55633391156128
2024-07-20 08:00:00,-16.905920903292092
2024-07-20 09:00:00,-11.174795090890287
2024-07-20 10:00:00,-10.681791575198197
2024-07-20 11:00:00,-10.540171252658524
2024-07-20 12:00:00,-11.940196804020218
2024-07-20 13:00:00,-13.783960917665295
2024-07-20 14:00:00,-12.929213103110257
2024-07-20 15:00:00,-12.010728784460897
2024-07-20 16:00:00,-14.653224242718522
2024-07-20 17:00:00,-9.6791157892504
2024-07-20 18:00:00,-10.437045327877904
2024-07-20 19:00:00,-9.96103788310434
2024-07-20 20:00:00,-12.953242278813775
2024-07-20 21:00:00,-15.240177650161785
2024-07-20 22:00:00,-15.54421947665556
2024-07-20 23:00:00,-15.306351364444849
2024-07-21 00:00:00,-14.921881296121558
2024-07-21 01:00:00,-14.740473659624133
2024-07-21 02:00:00,-14.05402028656754
2024-07-21 03:00:00,-14.134935498654341
2024-07-21 04:00:00,-13.518846006065685
2024-07-21 05:00:00,-13.327805528529755
2024-07-21 06:00:00,-13.544516436393838
2024-07-21 07:00:00,-12.683611855473075
2024-07-21 08:00:00,-12.59364243421459
2024-07-21 09:00:00,-12.41594705644764
2024-07-21 10:00:00,-12.607150114604616
2024-07-21 11:00:00,-12.896707830867657
2024-07-21 12:00:00,-13.084246282039516
2024-07-21 13:00:00,-13.111382086135055
2024-07-21 14:00:00,-13.159724905427513
2024-07-21 15:00:00,-12.994468159379979
2024-07-21 16:00:00,-12.94801678726768
2024-07-21 17:00:00,-12.6348029240372
2024-07-21 18:00:00,-12.836751562118458
2024-07-21 19:00:00,-12.693801995220056
2024-07-21 20:00:00,-12.250175520135421
2024-07-21 21:00:00,-11.668071668904966
2024-07-21 22:00:00,-11.832783118781261
2024-07-21 23:00:00,-11.72680681448808
2024-07-22 00:00:00,-11.18563352102636
2024-07-22 01:00:00,-8.644668426363356
2024-07-22 02:00:00,-8.701708364841803
2024-07-22 03:00:00,-9.569324286681336
2024-07-22 04:00:00,-8.632434890849105
2024-07-22 05:00:00,-8.907129941693679
2024-07-22 06:00:00,-8.401663947268661
2024-07-22 07:00:00,-9.160134968672134
2024-07-22 13:00:00,-42.61570199456622
2024-07-22 14:00:00,-43.09735071551188
